Year,Name,Worth,Age
2002,"Zell, Samuel",18,69
2002,"DeVos, Richard M",17,70
2002,"Jackson, Jess S",17,67
2002,"Malone, Mary Alice Dorrance",17,55
2002,"Mathile, Clayton Lee",17,52
2002,"McCain, Wallace",17,76
2002,"Pohlad, Carl",17,72
2002,"Rainwater, Richard E",17,57
2002,"Saban, Haim",17,86
2002,"Spangler, Clemmie D Jr",17,52
2002,"Blank, Arthur M",16,-
2002,"Desmarais, Paul & family",16,67
2002,"Duffield, David A",16,75
2002,"Golisano, Blase T",16,56
2002,"Harp Helu, Alfredo",16,-
2002,"Rich, Robert E Sr",16,60
2002,"Salinas Pliego, Ricardo & family",16,59
2002,"Washington, Dennis",16,61
2002,"Aramburuzabala, Maria Asuncion & family",15,-
2002,"Bailleres, Alberto",15,56
2002,"Bass, Lee M",15,-
2002,"Bezos, Jeffrey P",15,81
2002,"Booth, Franklin O Jr",15,71
2002,"Dorrance, Bennett",15,50
2002,"Fisher, Donald G",15,69
2002,"Fisher, Doris Feigenbaum",15,38
2002,"Frist, Thomas F Jr",15,77
2002,"Gaylord, Edward L",15,56
2002,"Gonda, Leslie L",15,82
2002,"Gores, Tom T",15,37
2002,"Kellogg, Peter R",15,79
2002,"Kohler, Herbert & family",15,38
2002,"McCain, Harrison",15,61
2002,"Mitchell, George Phydias",15,45
2002,"Morgridge, John P",15,73
2002,"Naify, Robert A",15,80
2002,"Nicholas, Peter M",15,91
2002,"Rockefeller, Laurance Spelman",15,59
2002,"Simmons, Harold Clark",15,71
2002,"Stephens, Jackson T",15,82
2002,"Van Andel, Jay",15,63
2002,"Abele, John E",14,-
2002,"Burkle, Ronald",14,-
2002,"Cuban, Mark",14,51
2002,"Druckenmiller, Stanley",14,51
2002,"Gage, Barbara Carlson & family",14,59
2002,"Jannard, James",14,60
2002,"Johnson, Rupert Jr",14,61
2002,"Kellogg, William S",14,42
2002,"Munger, Charles",14,58
2002,"Nelson, Marilyn Carlson & family",14,63
2002,"Waitt, Theodore W",14,39
2002,"Weill, Sanford",14,49
2002,"Berg, Carl E",13,66
2002,"Coutu, Jean",13,57
2002,"Egan, Richard J",13,65
2002,"Flinn, Lawrence Jr",13,-
2002,"Gerry, Alan",13,59
2002,"Kinder, Richard",13,63
2002,"Kravis, Henry R",13,62
2002,"Langone, Kenneth G",13,-
2002,"Marshall, E Pierce",13,83
2002,"Mays, L Lowry",13,66
2002,"Moran, James M",13,72
2002,"Peralta, Carlos & family",13,58
2002,"Rales, Mitchell",13,64
2002,"Rales, Steven",13,57
2002,"Roberts, George R",13,-
2002,"Troutt, Kenny A",13,45
2002,"Williams, Arthur L Jr",13,49
2002,"Batten, Frank",12,68
2002,"Emmerson, Archie Aldis (Red)",12,72
2002,"Field, Frederick W",12,-
2002,"Hubbard, Stanley Stub",12,76
2002,"Jamail, Joseph D Jr",12,76
2002,"Lewis, Peter B",12,62
2002,"Lindemann, George L & family",12,63
2002,"Marriott, Richard E",12,53
2002,"McCombs, Billy Joe (Red)",12,68
2002,"McNair, Robert C",12,67
2002,"Rich, Marc D",12,74
2002,"Rock, Arthur J",12,72
2002,"Rockefeller, Winthrop P",12,75
2002,"Rogers, Edward S",12,75
2002,"Kroenke, Enos S",11,51
2002,"Lee-Chin, Michael",11,69
2002,"Lenfest, Harold F",11,65
2002,"Magness, Gary",11,-
2002,"Magness, Kim",11,-
2002,"Mann, Alfred",11,-
2002,"McLane, Robert D Jr",11,62
2002,"Short, Patricia A",11,57
2002,"Smith, Frederick W",11,64
2002,"Sobrato, John A",11,76
2002,"Weber, Charlotte Colket",11,59
2002,"West, Alfred P Jr",11,48
2002,"Zuckerman, Mortimer B",11,51
2002,"Arrillaga, John",10,67
2002,"Azcarraga Jean, Emilio",10,-
2002,"Comer, Gary Campbell",10,64
2002,"Dedman, Robert H Sr",10,-
2002,"Doerr, L John",10,53
2002,"Green, Pincus",10,34
2002,"Harbert, Marguerite",10,56
2002,"Hearst, William R III",10,78
2002,"Holding, Robert E",10,34
2002,"Jacobs, Irwin M",10,71
2002,"Johnson, Robert",10,56
2002,"Khosla, Vinod",10,53
2002,"Kohlberg, Jerome S Jr",10,34
2002,"Kovner, Bruce",10,-
2002,"Marriott, John W Jr",10,68
2002,"McCaw, Bruce R",10,78
2002,"McCaw, John E Jr",10,56
2002,"McCaw, Keith W",10,66
2002,"Milliken, Roger",10,66
2002,"Peery, Richard Taylor",10,51
2002,"Ryan, Patrick G",10,-
2002,"Saba Raffoul, Isaac & family",10,86
2002,"Schneider, Donald J",10,67
2002,"Scott, Walter Jr",10,-
2002,"Simonyi, Charles",10,55
2002,"Smith, Ollen Bruton",10,52
2002,"Van Beuren, Hope Hill",10,47
2002,"Vilar, Alberto",10,-
2002,"White, Dean",10,-
2003,William H Gates III,407,47
2003,Warren E Buffett,305,72
2003,Paul G Allen,201,50
2003,Lawrence J Ellison,166,58
2003,Alice L Walton,165,54
2003,Helen R Walton,165,83
2003,Jim C Walton,165,55
2003,John T Walton,165,57
2003,S Robson Walton,165,59
2003,Kenneth Thomson & family,140,79
2003,Steven A Ballmer,111,46
2003,John W Kluge,105,88
2003,Barbara Cox Anthony,103,79
2003,Anne Cox Chambers,103,83
2003,Forrest E Mars Jr,100,71
2003,Jacqueline Mars,100,64
2003,John F Mars,100,66
2003,Michael Dell,98,38
2003,Abigail Johnson,82,41
2003,Sumner M Redstone,80,79
2003,Donald E Newhouse,77,73
2003,Samuel I Newhouse Jr,77,75
2003,Robert A Pritzker,76,76
2003,Thomas J Pritzker,76,52
2003,Carlos Slim Helu,74,63
2003,Samuel C Johnson,73,74
2003,George Soros,70,72
2003,Galen Weston & family,62,62
2003,H Ty Warner,60,59
2003,Charles Ergen,59,50
2003,Carl Icahn,58,67
2003,Keith R Murdoch,55,72
2003,Pierre M Omidyar,50,35
2003,Philip F Anschutz,49,63
2003,Michael R Bloomberg,48,60
2003,Marvin H Davis,46,77
2003,Philip H Knight,42,65
2003,Edward C Johnson III,41,72
2003,Donald L Bren,40,70
2003,Charles D Koch,40,67
2003,David H Koch,40,62
2003,Eli Broad,39,69
2003,David Geffen,38,60
2003,Henry Ross Perot,37,72
2003,"James, Arthur & John Irving",35,-
2003,William Wrigley Jr,35,39
2003,Jeronimo Arango,34,77
2003,Kirk Kerkorian,34,85
2003,Micky Arison,32,53
2003,Riley P Bechtel,32,50
2003,Stephen D Bechtel Jr,32,77
2003,William A Cook,32,71
2003,James Goodnight,31,60
2003,George Lucas,30,58
2003,Jack C Taylor,30,80
2003,Henry L Hillman,29,84
2003,Lester Crown & family,28,77
2003,Jeffrey S Skoll,28,38
2003,Ann Walton Kroenke,27,53
2003,John E Abele,26,65
2003,George B Kaiser,26,60
2003,Leonard A Lauder,26,69
2003,Samuel J LeFrak & family,26,85
2003,Gordon Earle Moore,26,74
2003,Charles R Schwab,26,65
2003,Robert M Bass,25,55
2003,Jeffrey P Bezos,25,39
2003,Jon M Huntsman,25,65
2003,Craig O McCaw,25,53
2003,John R Menard Jr,25,63
2003,Ronald O Perelman,25,60
2003,David Rockefeller Sr,25,87
2003,Edgar M Bronfman Sr,23,74
2003,Maurice R Greenberg,23,77
2003,Ray L Hunt,23,60
2003,Barbara Piasecka Johnson,23,66
2003,Nancy Walton Laurie,23,51
2003,A Jerrold Perenchio,23,72
2003,Robert Rowling,23,49
2003,Preston R Tisch,23,76
2003,Charles R Bronfman,22,71
2003,SUnited Staten Thompson Buffett,22,70
2003,Ronald S Lauder,22,59
2003,Peter M Nicholas,22,62
2003,Jim Pattison,22,74
2003,Bernard (Barry) Sherman,22,61
2003,John R Simplot & family,22,94
2003,James L Sorenson,22,81
2003,Steven A Spielberg,22,56
2003,Leonard N Stern,22,64
2003,Gordon P Getty,21,66
2003,Martha R Ingram & family,21,67
2003,Leslie Herbert Wexner,21,65
2003,Amos B Hostetter Jr,20,66
2003,Patrick J McGovern,20,65
2003,Carl Pohlad,20,87
2003,Laurence A Tisch,20,80
2003,Robert E (Ted) Turner,20,64
2003,Lorenzo Zambrano & family,20,58
2003,Donald J Hall,19,74
2003,Leona Helmsley,19,83
2003,Ralph Lauren,19,64
2003,Richard E Rainwater,19,58
2003,Clemmie D Spangler Jr,19,70
2003,Glen Taylor,19,61
2003,Donald J Trump,19,57
2003,S D Abraham,18,79
2003,Herbert A Allen Jr,18,63
2003,Charles C Butt,18,64
2003,William M Davidson,18,80
2003,Eugenio Garza Laguera & family,18,79
2003,Jess S Jackson,18,73
2003,Wallace McCain,18,73
2003,Robert E Rich Sr,18,89
2003,Samuel Zell,18,61
2003,Alberto Bailleres,17,70
2003,Paul Desmarais & family,17,76
2003,Richard M DeVos,17,77
2003,Edward L Gaylord,17,83
2003,H W Huizenga,17,65
2003,Steven P Jobs,17,48
2003,Peter R Kellogg,17,60
2003,Clayton Lee Mathile,17,62
2003,Haim Saban,17,58
2003,Dennis Washington,17,68
2003,Donald G Fisher,16,74
2003,Doris Feigenbaum Fisher,16,72
2003,Alec Gores,16,50
2003,Roberto Hernandez,16,60
2003,Bradley W Hughes,16,69
2003,E Pierce Marshall,16,64
2003,Fayez S Sarofim,16,74
2003,Steven Udvar-Hazy,16,57
2003,Ronald Burkle,15,50
2003,Stanley Druckenmiller,15,49
2003,Thomas F Frist Jr,15,64
2003,Tom T Gores,15,38
2003,Alfredo Harp Helu,15,59
2003,Charles B Johnson,15,70
2003,Daryl A Katz,15,41
2003,Herbert Kohler & family,15,64
2003,John C Malone,15,62
2003,Harrison McCain,15,75
2003,Laurance Spelman Rockefeller,15,92
2003,John Sall,15,54
2003,Jackson T Stephens,15,79
2003,Jay Van Andel,15,78
2003,Sheldon Adelson,14,69
2003,Richard T Farmer,14,68
2003,Bruce Kovner,14,57
2003,Michael Krasny,14,49
2003,E Stanley Kroenke,14,55
2003,Michael Lee-Chin,14,52
2003,Mary Alice Dorrance Malone,14,53
2003,Bernard Marcus,14,73
2003,Eugene Melnyk,14,43
2003,George Phydias Mitchell,14,83
2003,James M Moran,14,84
2003,David H Murdock,14,79
2003,Richard M Schulze,14,62
2003,Franklin O Booth Jr,13,80
2003,Jean Coutu,13,75
2003,Mark Cuban,13,44
2003,David A Duffield,13,62
2003,Louis L Gonda,13,54
2003,Henry R Kravis,13,59
2003,Robert C McNair,13,64
2003,Carlos Peralta & family,13,51
2003,Mitchell Rales,13,46
2003,Steven Rales,13,50
2003,George R Roberts,13,58
2003,Ernest E Stempel,13,86
2003,Maria Asuncion Aramburuzabala & family,12,39
2003,Lee M Bass,12,46
2003,Bennett Dorrance,12,56
2003,Richard J Egan,12,67
2003,Frederick W Field,12,50
2003,Thomas J Flatley,12,70
2003,Barbara Carlson Gage & family,12,61
2003,Blase T Golisano,12,61
2003,Joseph D Jamail Jr,12,77
2003,Robert L Johnson,12,56
2003,Rupert Johnson Jr,12,62
2003,Richard Kinder,12,58
2003,Joan B Kroc,12,74
2003,George L Lindemann & family,12,66
2003,L Lowry Mays,12,67
2003,Charles T Munger,12,78
2003,Robert A Naify,12,81
2003,Marilyn Carlson Nelson & family,12,64
2003,Winthrop P Rockefeller,12,54
2003,Emanuele (Lino) Saputo & family,12,66
2003,Thomas M Siebel,12,50
2003,John A Sobrato,12,63
